iter	Passed	Remaining
0	65	39476
1	118	35570
2	178	35446
3	224	33521
4	266	31656
5	307	30477
6	355	30127
7	396	29354
8	440	28920
9	506	29906
10	570	30539
11	632	30984
12	674	30466
13	726	30394
14	771	30100
15	816	29795
16	864	29651
17	911	29475
18	953	29167
19	993	28820
20	1034	28519
21	1075	28259
22	1119	28074
23	1168	28053
24	1209	27808
25	1266	27967
26	1315	27919
27	1365	27902
28	1411	27787
29	1455	27650
30	1500	27535
31	1539	27322
32	1582	27182
33	1624	27044
34	1682	27167
35	1789	28032
36	1841	28014
37	1882	27847
38	1925	27700
39	1966	27531
40	2007	27374
41	2049	27228
42	2090	27078
43	2132	26942
44	2181	26906
45	2224	26785
46	2270	26719
47	2313	26607
48	2354	26474
49	2401	26420
50	2452	26398
51	2501	26365
52	2549	26309
53	2598	26271
54	2641	26172
55	2682	26063
56	2724	25949
57	2778	25965
58	2820	25863
59	2889	26009
60	2946	26031
61	3001	26046
62	3043	25944
63	3086	25849
64	3129	25755
65	3180	25736
66	3225	25658
67	3269	25575
68	3325	25592
69	3371	25525
70	3413	25436
71	3457	25353
72	3500	25270
73	3541	25172
74	3581	25068
75	3625	24997
76	3682	25010
77	3731	24970
78	3779	24926
79	3823	24854
80	3867	24778
81	3908	24690
82	3950	24610
83	3991	24521
84	4050	24543
85	4111	24574
86	4179	24646
87	4221	24564
88	4263	24481
89	4306	24401
90	4351	24340
91	4393	24258
92	4437	24193
93	4482	24130
94	4533	24100
95	4584	24068
96	4625	23985
97	4668	23915
98	4712	23846
99	4756	23783
100	4798	23706
101	4851	23688
102	4901	23651
103	4954	23631
104	4999	23567
105	5046	23516
106	5095	23476
107	5145	23440
108	5190	23380
109	5257	23419
110	5319	23435
111	5377	23430
112	5418	23354
113	5468	23312
114	5512	23249
115	5557	23188
116	5599	23117
117	5642	23046
118	5686	22986
119	5731	22924
120	5776	22865
121	5822	22811
122	5865	22748
123	5917	22715
124	5959	22646
125	6014	22626
126	6066	22592
127	6117	22559
128	6171	22531
129	6213	22464
130	6255	22396
131	6300	22338
132	6345	22279
133	6393	22234
134	6462	22258
135	6527	22271
136	6579	22237
137	6627	22186
138	6671	22126
139	6713	22059
140	6754	21988
141	6797	21923
142	6837	21852
143	6883	21797
144	6924	21729
145	6964	21656
146	7008	21598
147	7051	21535
148	7092	21469
149	7145	21435
150	7202	21415
151	7253	21380
152	7306	21347
153	7349	21283
154	7412	21281
155	7457	21224
156	7505	21179
157	7548	21116
158	7603	21087
159	7656	21056
160	7710	21023
161	7762	20986
162	7803	20921
163	7844	20855
164	7887	20793
165	7931	20735
166	7984	20703
167	8027	20643
168	8074	20592
169	8121	20543
170	8168	20492
171	8210	20431
172	8254	20374
173	8296	20312
174	8344	20266
175	8396	20228
176	8516	20353
177	8561	20296
178	8603	20235
179	8647	20177
180	8698	20135
181	8741	20076
182	8801	20055
183	8983	20310
184	9066	20339
185	9125	20312
186	9176	20267
187	9223	20213
