,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_9,ema_20,ema_50,macd,macd_signal,macd_histogram,adx,plus_di,minus_di,ichimoku_tenkan_sen,ichimoku_kijun_sen,ichimoku_senkou_span_a,ichimoku_senkou_span_b,ichimoku_chikou_span,supertrend,supertrend_direction,rsi_14,rsi_21,stoch_k,stoch_d,williams_r,cci,mfi,roc_12,roc_25,momentum_10,bb_upper,bb_middle,bb_lower,bb_width,bb_position,atr_14,atr_percent,kc_upper,kc_middle,kc_lower,dc_upper,dc_middle,dc_lower,std_dev_20,volatility_ratio,historical_volatility,vwap,obv,obv_ema,cmf,volume_sma_20,volume_ratio,ad_line,force_index,eom,trend_strength,volatility_regime,market_regime,price_momentum_oscillator,mtf_trend_alignment
2025-10-26 00:10:12.167830,50067.578555123095,50209.27257613737,49973.897352244676,50049.67141530112,6776.135912559566,,,,50049.67141530112,50049.67141530112,50049.67141530112,0.0,0.0,0.0,,,,,,,,50140.48908624182,0.0,1.0,,,,,,,,,,,,,,,,,,,50049.67141530112,,,,,,,,50077.61378122699,6776.135912559566,6776.135912559566,,,,-2413.269325110093,,,,Normal,Normal_Market,,0
2025-10-26 01:10:12.167830,50089.044031019635,50120.98120414561,49968.641630936145,50060.97061332471,2007.6533618687586,,,,50051.931254905845,50050.747529398606,50050.11452110597,0.9013605260915938,0.18027210521831877,0.7210884208732751,,,,,,,,50203.184516217094,0.0,1.0,,,,,,,,,,,,,,,,,,,50050.747529398606,,,,,,,,50071.34749309493,8783.789274428325,6967.340994642305,,,,-1987.351580206388,22684.87289847983,,,Normal,Normal_Market,,1
2025-10-26 02:10:12.167830,50205.181052063235,50205.181052063235,50063.64211690494,50150.86509527548,3849.2088313517315,,,,50071.718022979774,50060.282535672595,50054.06552401458,8.768352540886553,1.8978881923519657,6.870464348534588,,,,,,,,50168.24627536591,0.0,1.0,,,,,,,,,,,,,,,,,,,50060.282535672595,,,,,,,,50092.23389353515,12632.998105780058,7506.9273861792335,,,,-1092.431762219883,68875.98160079827,,,Normal,Normal_Market,,1
2025-10-26 03:10:12.167830,50381.32976824301,50381.32976824301,50191.839828414886,50328.29370905699,1820.6532750926594,,,,50123.03316019522,50085.80740932825,50064.819570486834,28.985875560225395,7.315485665926651,21.670389894298744,,,,,,,,50164.20252852729,0.0,1.0,,,,,,,,,,,,,,,,,,,50085.80740932825,,,,,,,,50118.466579632564,14453.651380872718,8168.5201475786125,,,,-290.93839548608844,105184.55376874871,,,Normal,Normal_Market,,1
2025-10-26 04:10:12.167830,50260.66589492578,50375.30759368473,50260.66589492578,50330.00399972536,6906.898984483972,,,,50164.42732810126,50109.064227461306,50075.21895986874,44.631925323170435,14.778773597375409,29.853151725795026,,,,,,,,50129.157495445055,0.0,1.0,,,,,,,,,,,,,,,,,,,50109.064227461306,,,,,,,,50184.27635146915,21360.55036535669,9424.90397784319,,,,1157.0856682860795,91845.73249900636,,,Normal,Normal_Market,,1
2025-10-26 05:10:12.167830,50284.51358866806,50394.41414389772,50142.79122477042,50331.715932171144,9892.396246095848,,,,50197.88504891524,50130.26915171939,50085.277664664914,56.51816490152123,23.126651858204575,33.39151304331666,,,,,,,,50339.51094203665,0.0,1.0,,,,,,,,,,,,,,,,,,,50130.26915171939,,,,,,,,50217.62691081424,31252.946611452535,11503.76518104408,,,,6119.600674053865,81144.21558489413,,,Normal,Normal_Market,,1
2025-10-26 06:10:12.167830,50540.779726240835,50622.62402745337,50436.587286097965,50514.76284186259,3240.5439318396448,,,,50261.26060750471,50166.88759839969,50102.12022063345,79.78869679837953,34.459060846239566,45.32963595213997,,,,,,,,50363.286847703566,0.0,1.0,,,,,,,,,,,,,,,,,,,50166.88759839969,,,,,,,,50246.47142278305,34493.49054329218,13693.262834591518,,,,5602.511485675972,154290.97799313982,,,Normal,Normal_Market,,1
2025-10-26 07:10:12.167830,50642.638057293334,50642.638057293334,50490.6314848915,50616.631942918575,12311.260718281244,,,,50332.33487458748,50209.72039311578,50122.29715091914,105.23763216593215,48.61477511017809,56.62285705575407,,,,,,,,50282.64138294868,0.0,1.0,,,,,,,,,,,,,,,,,,,50209.72039311578,,,,,,,,50335.06906328346,46804.75126157342,16846.73792287551,,,,13701.21679561438,311411.84717085864,,,Normal,Normal_Market,,1
2025-10-26 08:10:12.167830,50620.86887236361,50620.86887236361,50414.822105921616,50594.810132465784,2775.3664753857383,,,,50384.82992616315,50246.3956063872,50140.82707176411,122.23619628198503,63.33905934453948,58.89713693744555,,,,50305.63984411474,,,,50390.02150229969,0.0,1.0,,,,,,,,,,,,,,,,,,,50246.3956063872,,,,,,,,50346.73650757727,44029.384786187686,19435.561433667146,,,,15774.581930700684,258272.50883746467,,,Normal,Normal_Market,,1
2025-10-26 09:10:12.167830,50869.42581934144,50869.42581934144,50522.57009230651,50674.191764965086,9257.028175466387,,,,50442.70229392353,50287.138097680334,50161.74333424259,140.49359245511005,78.7699659666536,61.723626488456446,,,,50419.0337251388,,,,50293.0627654433,0.0,1.0,,,,,,,,,,,,,,,,,,50712.03243525142,50287.138097680334,49862.243760109246,,,,,,,50400.54326820219,53286.412961654074,22659.45205538019,,,,14610.636765914916,326353.2945264781,,,Normal,Normal_Market,,1
